Spectrometer
Copyright © Kvant 2011. All rights reserved.

Date: Wednesday, March 20, 2024 11:44:05 AM
Source image name: .bmp
Source image [pixels]: 1280 x 1024
Source image processed height [pixels]: 20
Source image processed [position pixel range]: 512 - 532

Spectrum range [nm]: 360.5 - 936.4

Chart Points:

Wave Length [nm]	Intensity [a.u.]

===START===
360.5	0.0
360.9	0.0
361.4	0.0
361.9	0.0
362.4	0.0
362.8	0.0
363.3	0.0
363.8	0.0
364.3	0.0
364.7	0.0
365.2	0.0
365.7	0.0
366.2	0.0
366.6	0.0
367.1	0.0
367.6	0.0
368.0	0.0
368.5	0.0
369.0	0.0
369.5	0.0
369.9	0.0
370.4	0.0
370.9	0.0
371.4	0.0
371.8	0.0
372.3	0.0
372.8	0.0
373.3	0.0
373.7	0.0
374.2	0.0
374.7	0.0
375.1	0.0
375.6	0.0
376.1	0.0
376.6	0.0
377.0	0.0
377.5	0.0
378.0	0.0
378.5	0.0
378.9	0.0
379.4	0.0
379.9	0.0
380.4	0.0
380.8	0.0
381.3	0.0
381.8	0.0
382.2	0.0
382.7	0.0
383.2	0.0
383.7	0.0
384.1	0.0
384.6	0.0
385.1	0.0
385.6	0.0
386.0	0.0
386.5	0.0
387.0	0.0
387.4	0.0
387.9	0.0
388.4	0.0
388.9	0.0
389.3	0.0
389.8	0.0
390.3	0.0
390.7	0.0
391.2	0.0
391.7	0.0
392.2	0.0
392.6	0.0
393.1	0.0
393.6	0.0
394.1	0.0
394.5	0.0
395.0	0.0
395.5	0.0
395.9	0.0
396.4	0.0
396.9	0.0
397.4	0.0
397.8	0.0
398.3	0.0
398.8	0.0
399.2	0.0
399.7	0.0
400.2	0.0
400.7	0.0
401.1	0.0
401.6	0.0
402.1	0.0
402.5	0.0
403.0	0.0
403.5	0.0
404.0	0.0
404.4	0.0
404.9	0.0
405.4	0.0
405.9	0.0
406.3	0.0
406.8	0.0
407.3	0.0
407.7	0.0
408.2	0.0
408.7	0.0
409.2	0.0
409.6	0.0
410.1	0.0
410.6	0.0
411.0	0.0
411.5	0.0
412.0	0.0
412.4	0.0
412.9	0.0
413.4	0.0
413.9	0.0
414.3	0.0
414.8	0.0
415.3	0.0
415.7	0.0
416.2	0.0
416.7	0.0
417.2	0.0
417.6	0.0
418.1	0.0
418.6	0.0
419.0	0.0
419.5	0.0
420.0	0.0
420.5	0.0
420.9	0.0
421.4	0.0
421.9	0.0
422.3	0.0
422.8	0.0
423.3	0.0
423.7	0.0
424.2	0.0
424.7	0.0
425.2	0.0
425.6	0.0
426.1	0.0
426.6	0.0
427.0	0.0
427.5	0.0
428.0	0.0
428.5	0.0
428.9	0.0
429.4	0.0
429.9	0.0
430.3	0.0
430.8	0.0
431.3	0.0
431.7	0.0
432.2	0.0
432.7	0.0
433.2	0.0
433.6	0.0
434.1	0.0
434.6	0.1
435.0	0.0
435.5	0.0
436.0	0.0
436.4	0.0
436.9	0.0
437.4	0.2
437.9	0.0
438.3	5.2
438.8	4.4
439.3	15.0
439.7	14.4
440.2	16.7
440.7	16.1
441.1	19.8
441.6	20.6
442.1	29.8
442.5	30.2
443.0	42.7
443.5	43.5
444.0	72.0
444.4	72.1
444.9	72.6
445.4	73.1
445.8	77.4
446.3	77.9
446.8	84.2
447.2	84.3
447.7	86.8
448.2	87.9
448.7	99.6
449.1	99.7
449.6	101.7
450.1	101.7
450.5	106.0
451.0	106.5
451.5	114.0
451.9	114.4
452.4	120.3
452.9	120.7
453.3	127.8
453.8	128.9
454.3	136.5
454.7	136.6
455.2	144.5
455.7	145.1
456.2	151.5
456.6	152.4
457.1	160.2
457.6	160.4
458.0	167.2
458.5	167.6
459.0	174.2
459.4	174.6
459.9	183.7
460.4	184.2
460.8	191.4
461.3	192.2
461.8	200.0
462.2	200.3
462.7	206.5
463.2	206.6
463.7	212.1
464.1	212.1
464.6	213.0
465.1	213.4
465.5	218.9
466.0	218.9
466.5	219.4
466.9	219.5
467.4	219.7
467.9	219.3
468.3	217.5
468.8	217.5
469.3	215.9
469.7	215.4
470.2	210.5
470.7	210.3
471.1	207.0
471.6	206.8
472.1	203.4
472.5	202.8
473.0	193.7
473.5	193.0
473.9	184.4
474.4	184.3
474.9	182.0
475.4	181.5
475.8	174.7
476.3	174.7
476.8	170.4
477.2	170.0
477.7	163.6
478.2	163.6
478.6	161.8
479.1	161.6
479.6	157.0
480.0	156.7
480.5	153.6
481.0	153.3
481.4	150.1
481.9	149.7
482.4	143.1
482.8	143.2
483.3	142.9
483.8	142.6
484.2	137.9
484.7	137.8
485.2	134.1
485.6	133.8
486.1	130.4
486.6	129.5
487.0	125.4
487.5	124.8
488.0	119.3
488.4	119.0
488.9	116.0
489.4	115.6
489.8	106.6
490.3	106.6
490.8	103.8
491.2	103.8
491.7	103.4
492.2	103.4
492.6	102.3
493.1	102.2
493.6	97.7
494.0	97.5
494.5	94.3
495.0	94.0
495.4	91.1
495.9	91.2
496.4	89.2
496.8	89.2
497.3	86.1
497.8	86.0
498.2	84.3
498.7	84.4
499.2	84.5
499.6	84.5
500.1	85.4
500.6	85.7
501.0	84.4
501.5	84.3
502.0	83.4
502.4	83.3
502.9	82.6
503.4	82.6
503.8	81.6
504.3	81.6
504.8	82.8
505.2	82.7
505.7	82.0
506.2	81.9
506.6	82.5
507.1	82.5
507.6	82.3
508.0	82.8
508.5	78.5
509.0	79.1
509.4	72.7
509.9	74.6
510.4	71.8
510.8	79.5
511.3	78.1
511.8	80.9
512.2	77.6
512.7	79.5
513.1	75.8
513.6	78.6
514.1	74.5
514.5	77.3
515.0	77.1
515.5	79.8
515.9	77.4
516.4	79.0
516.9	77.4
517.3	77.8
517.8	78.5
518.3	79.1
518.7	81.4
519.2	83.4
519.7	87.7
520.1	88.8
520.6	93.0
