Spectrometer
Copyright © Kvant 2011. All rights reserved.

Date: Wednesday, March 20, 2024 11:45:23 AM
Source image name: .bmp
Source image [pixels]: 1280 x 1024
Source image processed height [pixels]: 20
Source image processed [position pixel range]: 512 - 532

Spectrum range [nm]: 360.5 - 936.4

Chart Points:

Wave Length [nm]	Intensity [a.u.]

===START===
360.5	0.0
360.9	0.0
361.4	0.0
361.9	0.0
362.4	0.0
362.8	0.0
363.3	0.0
363.8	0.0
364.3	0.0
364.7	0.0
365.2	0.0
365.7	0.0
366.2	0.0
366.6	0.0
367.1	0.0
367.6	0.0
368.0	0.0
368.5	0.0
369.0	0.0
369.5	0.0
369.9	0.0
370.4	0.0
370.9	0.0
371.4	0.0
371.8	0.0
372.3	0.0
372.8	0.0
373.3	0.0
373.7	0.0
374.2	0.0
374.7	0.0
375.1	0.0
375.6	0.0
376.1	0.0
376.6	0.0
377.0	0.0
377.5	0.0
378.0	0.0
378.5	0.0
378.9	0.0
379.4	0.0
379.9	0.0
380.4	0.0
380.8	0.0
381.3	0.0
381.8	0.0
382.2	0.0
382.7	0.0
383.2	0.0
383.7	0.0
384.1	0.0
384.6	0.0
385.1	0.0
385.6	0.0
386.0	0.0
386.5	0.0
387.0	0.0
387.4	0.0
387.9	0.0
388.4	0.0
388.9	0.0
389.3	0.0
389.8	0.0
390.3	0.0
390.7	0.0
391.2	0.0
391.7	0.0
392.2	0.0
392.6	0.0
393.1	0.0
393.6	0.0
394.1	0.0
394.5	0.0
395.0	0.0
395.5	0.0
395.9	0.0
396.4	0.0
396.9	0.0
397.4	0.0
397.8	0.0
398.3	0.0
398.8	0.0
399.2	0.0
399.7	0.0
400.2	0.0
400.7	0.0
401.1	0.0
401.6	0.0
402.1	0.0
402.5	0.0
403.0	0.0
403.5	0.0
404.0	0.0
404.4	0.0
404.9	0.0
405.4	0.0
405.9	0.0
406.3	0.0
406.8	0.0
407.3	0.0
407.7	0.0
408.2	0.0
408.7	0.0
409.2	0.0
409.6	0.0
410.1	0.0
410.6	0.0
411.0	0.0
411.5	0.0
412.0	0.0
412.4	0.0
412.9	0.0
413.4	0.0
413.9	0.0
414.3	0.0
414.8	0.0
415.3	0.0
415.7	0.0
416.2	0.0
416.7	0.0
417.2	0.0
417.6	0.0
418.1	0.0
418.6	0.0
419.0	0.0
419.5	0.0
420.0	0.0
420.5	0.0
420.9	0.0
421.4	0.0
421.9	0.0
422.3	0.0
422.8	0.0
423.3	0.0
423.7	0.0
424.2	0.0
424.7	0.0
425.2	0.0
425.6	0.0
426.1	0.0
426.6	0.0
427.0	0.0
427.5	0.0
428.0	0.0
428.5	0.0
428.9	0.0
429.4	0.0
429.9	0.0
430.3	0.0
430.8	0.0
431.3	0.0
431.7	0.0
432.2	0.0
432.7	0.0
433.2	0.0
433.6	0.0
434.1	0.0
434.6	0.0
435.0	0.0
435.5	0.0
436.0	0.0
436.4	0.0
436.9	0.0
437.4	0.0
437.9	0.0
438.3	0.0
438.8	0.0
439.3	0.0
439.7	0.0
440.2	0.0
440.7	0.0
441.1	0.0
441.6	0.0
442.1	0.0
442.5	0.0
443.0	0.0
443.5	0.0
444.0	0.0
444.4	0.0
444.9	0.0
445.4	0.0
445.8	0.0
446.3	0.0
446.8	0.0
447.2	0.0
447.7	0.0
448.2	0.0
448.7	0.0
449.1	0.0
449.6	0.0
450.1	0.0
450.5	0.0
451.0	0.0
451.5	0.0
451.9	0.0
452.4	0.0
452.9	0.0
453.3	0.0
453.8	0.0
454.3	0.0
454.7	0.0
455.2	0.0
455.7	0.0
456.2	1.7
456.6	1.7
457.1	13.3
457.6	12.9
458.0	21.6
458.5	22.0
459.0	30.9
459.4	31.1
459.9	34.0
460.4	34.9
460.8	42.3
461.3	44.6
461.8	69.2
462.2	69.5
462.7	75.7
463.2	76.0
463.7	78.2
464.1	78.6
464.6	84.8
465.1	84.8
465.5	85.0
466.0	85.0
466.5	85.6
466.9	85.5
467.4	81.7
467.9	81.6
468.3	81.6
468.8	81.5
469.3	74.3
469.7	74.1
470.2	57.9
470.7	58.4
471.1	55.9
471.6	55.3
472.1	37.3
472.5	36.7
473.0	28.9
473.5	27.8
473.9	13.7
474.4	12.1
474.9	5.7
475.4	4.7
475.8	0.0
476.3	0.0
476.8	0.0
477.2	0.0
477.7	0.0
478.2	0.0
478.6	0.0
479.1	0.0
479.6	0.0
480.0	0.0
480.5	0.0
481.0	0.0
481.4	0.0
481.9	0.0
482.4	0.0
482.8	0.0
483.3	0.0
483.8	0.0
484.2	0.0
484.7	0.0
485.2	0.0
485.6	0.0
486.1	0.0
486.6	0.0
487.0	0.0
487.5	0.0
488.0	0.0
488.4	0.0
488.9	0.0
489.4	0.0
489.8	0.0
490.3	0.0
490.8	0.0
491.2	0.0
491.7	0.0
492.2	0.0
492.6	0.0
493.1	0.0
493.6	0.0
494.0	0.0
494.5	0.0
495.0	0.0
495.4	0.0
495.9	0.0
496.4	0.0
496.8	0.0
497.3	0.0
497.8	0.0
498.2	0.0
498.7	0.0
499.2	0.0
499.6	0.0
500.1	0.0
500.6	0.0
501.0	0.0
501.5	0.0
502.0	0.0
502.4	0.0
502.9	0.0
503.4	0.0
503.8	0.0
504.3	0.0
504.8	0.0
505.2	0.0
505.7	0.0
506.2	0.0
506.6	0.0
507.1	0.0
507.6	0.0
508.0	0.0
508.5	0.0
509.0	0.0
509.4	0.0
509.9	0.0
510.4	0.0
510.8	0.0
511.3	0.0
511.8	0.0
512.2	0.0
512.7	0.0
513.1	0.0
513.6	0.0
514.1	0.0
514.5	0.0
515.0	0.0
515.5	0.0
515.9	0.0
516.4	0.0
516.9	0.0
517.3	0.0
517.8	0.0
518.3	0.0
518.7	0.0
519.2	0.0
519.7	0.0
520.1	0.0
520.6	0.0
